# Name: Histogram_1
# Instrument: CNCS
# Ei: 2.7
# Binning: 
# 	[H,H,0]: 75 bins from 0.0 to 0.75, step 0.01
# 	DeltaE: 72 bins from 0.2 to 2.0, step 0.025
# 	[0,0,L]: 1 bins from -3.05 to -2.95
# 	[H,-H,0]: 1 bins from -0.1 to 0.1
# UnitCell:
# 	Lattice parameters: a = 5.71082 b = 5.70969 c = 21.4314 alpha = 90.0249 beta = 89.9439 gamma = 119.988
# 	Orientation u:[0.76409,0.91221,20.4881]	v:[2.70519,2.75431,-6.28141]
# Intensity Error [H,H,0] DeltaE [0,0,L] [H,-H,0]
#  shape: 75x72x1x1
0.000000e+00 0.000000e+00 2.500000e-02 1.362500e+00 -3.000000e+00 0.000000e+00
2.281825e-04 9.315510e-05 2.500000e-02 1.387500e+00 -3.000000e+00 0.000000e+00
2.105013e-04 8.593680e-05 2.500000e-02 1.412500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.500000e-02 1.437500e+00 -3.000000e+00 0.000000e+00
1.880213e-04 7.675938e-05 2.500000e-02 1.462500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 2.500000e-02 1.487500e+00 -3.000000e+00 0.000000e+00
2.529558e-04 8.431883e-05 2.500000e-02 1.512500e+00 -3.000000e+00 0.000000e+00
8.088589e-05 4.669949e-05 2.500000e-02 1.537500e+00 -3.000000e+00 0.000000e+00
4.618940e-04 1.088696e-04 2.500000e-02 1.562500e+00 -3.000000e+00 0.000000e+00
1.020239e-03 1.574270e-04 2.500000e-02 1.587500e+00 -3.000000e+00 0.000000e+00
2.170180e-03 2.181128e-04 2.500000e-02 1.612499e+00 -3.000000e+00 0.000000e+00
8.693257e-04 1.295921e-04 2.500000e-02 1.637499e+00 -3.000000e+00 0.000000e+00
2.103857e-04 6.073312e-05 2.500000e-02 1.662499e+00 -3.000000e+00 0.000000e+00
1.507059e-04 5.023541e-05 2.500000e-02 1.687499e+00 -3.000000e+00 0.000000e+00
2.445436e-04 6.314106e-05 2.500000e-02 1.712499e+00 -3.000000e+00 0.000000e+00
2.823592e-04 6.655284e-05 2.500000e-02 1.737499e+00 -3.000000e+00 0.000000e+00
2.735050e-04 6.446616e-05 2.500000e-02 1.762499e+00 -3.000000e+00 0.000000e+00
2.087115e-03 1.757681e-04 2.500000e-02 1.787499e+00 -3.000000e+00 0.000000e+00
2.304166e-03 1.827337e-04 2.500000e-02 1.812499e+00 -3.000000e+00 0.000000e+00
3.309291e-03 2.163368e-04 2.500000e-02 1.837499e+00 -3.000000e+00 0.000000e+00
1.844749e-03 1.605659e-04 2.500000e-02 1.862499e+00 -3.000000e+00 0.000000e+00
5.378017e-04 8.611750e-05 2.500000e-02 1.887499e+00 -3.000000e+00 0.000000e+00
3.280145e-04 6.695675e-05 2.500000e-02 1.912499e+00 -3.000000e+00 0.000000e+00
2.464508e-04 5.808910e-05 2.500000e-02 1.937499e+00 -3.000000e+00 0.000000e+00
4.013089e-04 7.326927e-05 2.500000e-02 1.962499e+00 -3.000000e+00 0.000000e+00
1.610229e-04 4.648376e-05 2.500000e-02 1.987499e+00 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 2.125000e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 2.375000e-01 -3.000000e+00 0.000000e+00
nan nan 3.500000e-02 2.625000e-01 -3.000000e+00 0.000000e+00
